Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
TCO12 Championship Round	6	0.0	1000?	2012-10-03 13:40	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15378
TCO13 Round 1A	20	248.04	250	2013-02-23 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15571
TCO13 Round 1A	20	412.86	500	2013-02-23 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15571
TCO13 Round 1A	20	657.51	1000	2013-02-23 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15571
TCO13 Round 1B	20	248.45	250	2013-03-02 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15580
TCO13 Round 1B	20	461.86	500	2013-03-02 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15580
TCO13 Round 1B	20	866.68	1000	2013-03-02 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15580
TCO13 Round 1C	20	246.79	250	2013-03-09 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15585
TCO13 Round 1C	20	485.45	500	2013-03-09 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15585
TCO13 Round 1C	20	435.53	1000	2013-03-09 12:10	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15585
TCO13 Round 2A	25	267.5	300	2013-03-31 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15594
TCO13 Round 2A	25	236.44	600	2013-03-31 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15594
TCO13 Round 2A	25	0.0	1000	2013-03-31 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15594
TCO13 Round 2B	25	228.77	250	2013-04-20 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15633
TCO13 Round 2B	25	246.59	500	2013-04-20 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15633
TCO13 Round 2B	25	0.0	1000?	2013-04-20 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15633
TCO13 Round 2C	25	229.03	250	2013-05-11 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15653
TCO13 Round 2C	25	257.17	550	2013-05-11 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15653
TCO13 Round 2C	25	0.0	1000	2013-05-11 12:10	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15653
TCO13 Round 3A	6	232.66	250	2013-06-08 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15686
TCO13 Round 3A	6	186.32	550	2013-06-08 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15686
TCO13 Round 3A	6	0.0	1000?	2013-06-08 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15686
TCO13 Round 3B	6	230.99	250	2013-06-22 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15693
TCO13 Round 3B	6	397.94	450	2013-06-22 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15693
TCO13 Round 3B	6	0.0	1000?	2013-06-22 12:10	http://community.topcoder.com/stat?c=round_overview&er=6&rd=15693
TCO13 Semifinal 1	12	0.0	250?	2013-11-12 09:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15808
TCO13 Semifinal 1	12	0.0	590	2013-11-12 09:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15808
TCO13 Semifinal 1	8	0.0	1000?	2013-11-12 09:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15808
TCO13 Semifinal 2	11	0.0	250?	2013-11-12 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15809
TCO13 Semifinal 2	10	0.0	500?	2013-11-12 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15809
TCO13 Semifinal 2	10	0.0	1000?	2013-11-12 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15809
TCO13 Wildcard Round	8	0.0	265	2013-11-12 18:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15812
TCO13 Wildcard Round	8	0.0	430	2013-11-12 18:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15812
TCO13 Wildcard Round	4	0.0	1045	2013-11-12 18:30	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15812
TCO13 Championship Round	8	0.0	250?	2013-11-13 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15814
TCO13 Championship Round	8	0.0	500?	2013-11-13 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15814
TCO13 Championship Round	8	0.0	1000?	2013-11-13 13:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15814
SRM 603	20	244.29	250	2014-01-06 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15836
SRM 603	20	471.0	500	2014-01-06 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15836
SRM 603	20	0.0	1000	2014-01-06 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15836
SRM 604	20	243.99	250	2014-01-11 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15837
